Id,Weekly_Sales
1_3_2013-03-22,30245.115234375
1_3_2013-03-29,34540.984375
1_3_2013-04-05,34344.5
1_3_2013-04-12,31629.83203125
1_3_2013-04-19,31150.3515625
1_3_2013-04-26,30521.322265625
1_3_2013-05-03,27215.2890625
1_3_2013-05-10,33532.25
1_3_2013-05-17,31826.9453125
1_3_2013-05-24,28218.44140625
1_3_2013-05-31,27782.611328125
1_3_2013-06-07,30378.404296875
1_3_2013-06-14,26232.220703125
1_3_2013-06-21,27868.62109375
1_3_2013-06-28,28838.912109375
1_3_2013-07-05,23188.251953125
1_3_2013-07-12,27477.291015625
1_3_2013-07-19,30479.529296875
1_3_2013-07-26,26527.548828125
1_4_2012-11-02,42687.12890625
1_4_2012-11-09,46340.6171875
1_4_2012-11-16,48740.87890625
1_4_2012-11-23,54941.42578125
1_4_2012-11-30,49348.703125
1_4_2012-12-07,50943.859375
1_4_2012-12-14,44227.3984375
1_4_2012-12-21,45230.54296875
1_4_2012-12-28,38219.74609375
1_4_2013-01-04,41234.51171875
1_4_2013-01-11,43133.76953125
1_4_2013-01-18,43420.48046875
1_4_2013-01-25,43293.4296875
1_4_2013-02-01,35069.0390625
1_4_2013-02-08,42012.0625
1_4_2013-02-15,49707.0078125
1_4_2013-02-22,42798.15625
1_4_2013-03-01,45634.84375
1_4_2013-03-08,45642.359375
1_4_2013-03-15,42909.6015625
1_4_2013-03-22,42759.14453125
1_4_2013-03-29,47054.9921875
1_4_2013-04-05,46858.5234375
1_4_2013-04-12,44143.8359375
1_4_2013-04-19,43664.3671875
1_4_2013-04-26,43035.33984375
1_4_2013-05-03,39729.31640625
1_4_2013-05-10,46046.26953125
1_4_2013-05-17,44340.96875
1_4_2013-05-24,40732.4453125
1_4_2013-05-31,40296.63671875
1_4_2013-06-07,42892.4296875
1_4_2013-06-14,38746.23828125
1_4_2013-06-21,40382.640625
1_4_2013-06-28,41352.9140625
1_4_2013-07-05,35702.28515625
1_4_2013-07-12,39991.30859375
1_4_2013-07-19,42993.54296875
1_4_2013-07-26,39041.57421875
1_5_2012-11-02,38479.32421875
1_5_2012-11-09,42132.8046875
1_5_2012-11-16,44533.0703125
1_5_2012-11-23,50733.58984375
1_5_2012-11-30,45140.90625
1_5_2012-12-07,46736.05859375
1_5_2012-12-14,40019.61328125
1_5_2012-12-21,41022.734375
1_5_2012-12-28,34011.92578125
1_5_2013-01-04,37026.734375
1_5_2013-01-11,38925.97265625
1_5_2013-01-18,39212.6640625
1_5_2013-01-25,39085.6171875
1_5_2013-02-01,30861.2265625
1_5_2013-02-08,37804.25390625
1_5_2013-02-15,45499.19921875
1_5_2013-02-22,38590.36328125
1_5_2013-03-01,41427.03515625
1_5_2013-03-08,41434.5546875
1_5_2013-03-15,38701.7890625
1_5_2013-03-22,38551.33203125
1_5_2013-03-29,42847.1953125
1_5_2013-04-05,42650.703125
1_5_2013-04-12,39936.046875
1_5_2013-04-19,39456.55859375
1_5_2013-04-26,38827.5234375
1_5_2013-05-03,35521.4765625
1_5_2013-05-10,41838.4609375
1_5_2013-05-17,40133.140625
1_5_2013-05-24,36524.6328125
1_5_2013-05-31,36088.828125
1_5_2013-06-07,38684.6171875
1_5_2013-06-14,34538.42578125
1_5_2013-06-21,36174.83203125
1_5_2013-06-28,37145.10546875
1_5_2013-07-05,31494.470703125
1_5_2013-07-12,35783.5
1_5_2013-07-19,38785.7421875
1_5_2013-07-26,34833.74609375
1_6_2012-11-02,23204.4921875
1_6_2012-11-09,26857.9765625
1_6_2012-11-16,29258.244140625
1_6_2012-11-23,35458.78515625
1_6_2012-11-30,29866.06640625
1_6_2012-12-07,31461.224609375
1_6_2012-12-14,24744.779296875
1_6_2012-12-21,25747.908203125
1_6_2012-12-28,18737.095703125
1_6_2013-01-04,21751.884765625
1_6_2013-01-11,23651.1328125
1_6_2013-01-18,23937.83203125
1_6_2013-01-25,23810.796875
1_6_2013-02-01,15586.3984375
1_6_2013-02-08,22529.431640625
1_6_2013-02-15,30224.375
1_6_2013-02-22,23315.5390625
1_6_2013-03-01,26152.203125
1_6_2013-03-08,26159.724609375
1_6_2013-03-15,23426.97265625
1_6_2013-03-22,23276.509765625
1_6_2013-03-29,27572.369140625
1_6_2013-04-05,27375.88671875
1_6_2013-04-12,24661.2109375
1_6_2013-04-19,24181.7421875
1_6_2013-04-26,23552.703125
1_6_2013-05-03,20246.66796875
1_6_2013-05-10,26563.630859375
1_6_2013-05-17,24858.32421875
1_6_2013-05-24,21249.8125
1_6_2013-05-31,20814.009765625
1_6_2013-06-07,23409.796875
1_6_2013-06-14,19263.603515625
1_6_2013-06-21,20900.0078125
1_6_2013-06-28,21870.283203125
1_6_2013-07-05,16219.6494140625
1_6_2013-07-12,20508.67578125
1_6_2013-07-19,23510.9140625
1_6_2013-07-26,19558.935546875
1_7_2012-11-02,41059.0390625
1_7_2012-11-09,44712.53125
1_7_2012-11-16,47112.796875
1_7_2012-11-23,53313.32421875
1_7_2012-11-30,47720.6171875
1_7_2012-12-07,49315.76171875
1_7_2012-12-14,42599.328125
1_7_2012-12-21,43602.44921875
1_7_2012-12-28,36591.65234375
1_7_2013-01-04,39606.44140625
1_7_2013-01-11,41505.6640625
1_7_2013-01-18,41792.38671875
1_7_2013-01-25,41665.34375
1_7_2013-02-01,33440.953125
1_7_2013-02-08,40383.9609375
1_7_2013-02-15,48078.90234375
1_7_2013-02-22,41170.078125
1_7_2013-03-01,44006.73828125
1_7_2013-03-08,44014.27734375
1_7_2013-03-15,41281.515625
1_7_2013-03-22,41131.046875
1_7_2013-03-29,45426.921875
1_7_2013-04-05,45230.4375
1_7_2013-04-12,42515.7578125
1_7_2013-04-19,42036.296875
1_7_2013-04-26,41407.25390625
1_7_2013-05-03,38101.203125
1_7_2013-05-10,44418.17578125
1_7_2013-05-17,42712.86328125
1_7_2013-05-24,39104.34765625
1_7_2013-05-31,38668.5546875
1_7_2013-06-07,41264.3359375
1_7_2013-06-14,37118.13671875
1_7_2013-06-21,38754.5625
1_7_2013-06-28,39724.828125
1_7_2013-07-05,34074.1953125
1_7_2013-07-12,38363.22265625
1_7_2013-07-19,41365.453125
1_7_2013-07-26,37413.484375
1_8_2012-11-02,46533.41796875
1_8_2012-11-09,50186.9140625
1_8_2012-11-16,52587.1640625
1_8_2012-11-23,58787.69140625
1_8_2012-11-30,53195.01171875
1_8_2012-12-07,54790.1484375
1_8_2012-12-14,48073.703125
1_8_2012-12-21,49076.83203125
1_8_2012-12-28,42066.015625
1_8_2013-01-04,45080.8203125
1_8_2013-01-11,46980.05078125
1_8_2013-01-18,47266.76171875
1_8_2013-01-25,47139.73828125
1_8_2013-02-01,38915.33203125
1_8_2013-02-08,45858.359375
1_8_2013-02-15,53553.3203125
1_8_2013-02-22,46644.47265625
1_8_2013-03-01,49481.125
1_8_2013-03-08,49488.6640625
1_8_2013-03-15,46755.89453125
1_8_2013-03-22,46605.4296875
1_8_2013-03-29,50901.28125
1_8_2013-04-05,50704.796875
1_8_2013-04-12,47990.14453125
1_8_2013-04-19,47510.65625
1_8_2013-04-26,46881.6171875
1_8_2013-05-03,43575.59375
1_8_2013-05-10,49892.5546875
1_8_2013-05-17,48187.25390625
1_8_2013-05-24,44578.73046875
1_8_2013-05-31,44142.94140625
1_8_2013-06-07,46738.7109375
1_8_2013-06-14,42592.52734375
1_8_2013-06-21,44228.93359375
1_8_2013-06-28,45199.2109375
1_8_2013-07-05,39548.5859375
1_8_2013-07-12,43837.6015625
1_8_2013-07-19,46839.83984375
1_8_2013-07-26,42887.86328125
1_9_2012-11-02,37446.55859375
1_9_2012-11-09,41100.04296875
1_9_2012-11-16,43500.29296875
1_9_2012-11-23,49700.83203125
1_9_2012-11-30,44108.1328125
1_9_2012-12-07,45703.28515625
1_9_2012-12-14,38986.8515625
1_9_2012-12-21,39989.9609375
1_9_2012-12-28,32979.171875
1_9_2013-01-04,35993.94921875
1_9_2013-01-11,37893.20703125
1_9_2013-01-18,38179.90625
1_9_2013-01-25,38052.86328125
1_9_2013-02-01,29828.44921875
1_9_2013-02-08,36771.484375
1_9_2013-02-15,44466.421875
1_9_2013-02-22,37557.59375
1_9_2013-03-01,40394.2734375
1_9_2013-03-08,40401.77734375
1_9_2013-03-15,37669.02734375
1_9_2013-03-22,37518.5546875
1_9_2013-03-29,41814.42578125
1_9_2013-04-05,41617.94921875
1_9_2013-04-12,38903.265625
1_9_2013-04-19,38423.78515625
1_9_2013-04-26,37794.76171875
1_9_2013-05-03,34488.734375
1_9_2013-05-10,40805.6875
1_9_2013-05-17,39100.3984375
1_9_2013-05-24,35491.859375
1_9_2013-05-31,35056.06640625
1_9_2013-06-07,37651.859375
1_9_2013-06-14,33505.65625
1_9_2013-06-21,35142.05859375
1_9_2013-06-28,36112.34375
1_9_2013-07-05,30461.701171875
1_9_2013-07-12,34750.734375
1_9_2013-07-19,37752.97265625
1_9_2013-07-26,33801.0
1_10_2012-11-02,35849.01171875
1_10_2012-11-09,39502.50390625
1_10_2012-11-16,41902.7578125
1_10_2012-11-23,48103.2890625
1_10_2012-11-30,42510.6015625
1_10_2012-12-07,44105.7421875
1_10_2012-12-14,37389.3046875
1_10_2012-12-21,38392.42578125
1_10_2012-12-28,31381.623046875
1_10_2013-01-04,34396.421875
1_10_2013-01-11,36295.66015625
1_10_2013-01-18,36582.359375
1_10_2013-01-25,36455.31640625
1_10_2013-02-01,28230.91796875
1_10_2013-02-08,35173.93359375
1_10_2013-02-15,42868.890625
1_10_2013-02-22,35960.0546875
1_10_2013-03-01,38796.7265625
1_10_2013-03-08,38804.24609375
1_10_2013-03-15,36071.4921875
1_10_2013-03-22,35921.03125
1_10_2013-03-29,40216.87890625
1_10_2013-04-05,40020.41015625
1_10_2013-04-12,37305.71875
1_10_2013-04-19,36826.25390625
1_10_2013-04-26,36197.234375
1_10_2013-05-03,32891.1953125
1_10_2013-05-10,39208.1484375
1_10_2013-05-17,37502.83984375
1_10_2013-05-24,33894.3203125
1_10_2013-05-31,33458.53125
1_10_2013-06-07,36054.31640625
1_10_2013-06-14,31908.119140625
1_10_2013-06-21,33544.515625
1_10_2013-06-28,34514.80078125
1_10_2013-07-05,28864.162109375
1_10_2013-07-12,33153.1953125
1_10_2013-07-19,36155.4296875
1_10_2013-07-26,32203.447265625
1_11_2012-11-02,32373.044921875
1_11_2012-11-09,36026.546875
1_11_2012-11-16,38426.80078125
1_11_2012-11-23,44627.3515625
1_11_2012-11-30,39034.62890625
1_11_2012-12-07,40629.78515625
1_11_2012-12-14,33913.33203125
1_11_2012-12-21,34916.45703125
1_11_2012-12-28,27905.658203125
1_11_2013-01-04,30920.44921875
1_11_2013-01-11,32819.69140625
1_11_2013-01-18,33106.39453125
1_11_2013-01-25,32979.35546875
1_11_2013-02-01,24754.955078125
1_11_2013-02-08,31697.984375
1_11_2013-02-15,39392.93359375
1_11_2013-02-22,32484.091796875
1_11_2013-03-01,35320.76171875
1_11_2013-03-08,35328.28515625
1_11_2013-03-15,32595.525390625
1_11_2013-03-22,32445.060546875
1_11_2013-03-29,36740.92578125
1_11_2013-04-05,36544.44140625
1_11_2013-04-12,33829.765625
1_11_2013-04-19,33350.296875
1_11_2013-04-26,32721.275390625
1_11_2013-05-03,29415.23046875
1_11_2013-05-10,35732.19921875
1_11_2013-05-17,34026.8828125
1_11_2013-05-24,30418.3671875
1_11_2013-05-31,29982.568359375
1_11_2013-06-07,32578.3515625
1_11_2013-06-14,28432.150390625
1_11_2013-06-21,30068.5625
1_11_2013-06-28,31038.83984375
1_11_2013-07-05,25388.205078125
1_11_2013-07-12,29677.2265625
1_11_2013-07-19,32679.47265625
1_11_2013-07-26,28727.482421875
1_12_2012-11-02,23265.052734375
1_12_2012-11-09,26918.548828125
1_12_2012-11-16,29318.806640625
1_12_2012-11-23,35519.32421875
1_12_2012-11-30,29926.642578125
1_12_2012-12-07,31521.771484375
1_12_2012-12-14,24805.34375
1_12_2012-12-21,25808.462890625
1_12_2012-12-28,18797.6640625
1_12_2013-01-04,21812.453125
1_12_2013-01-11,23711.6875
1_12_2013-01-18,23998.3984375
1_12_2013-01-25,23871.353515625
1_12_2013-02-01,15646.96484375
1_12_2013-02-08,22589.990234375
1_12_2013-02-15,30284.91796875
1_12_2013-02-22,23376.091796875
1_12_2013-03-01,26212.76171875
1_12_2013-03-08,26220.279296875
1_12_2013-03-15,23487.52734375
1_12_2013-03-22,23337.072265625
1_12_2013-03-29,27632.919921875
1_12_2013-04-05,27436.44140625
1_12_2013-04-12,24721.763671875
1_12_2013-04-19,24242.298828125
1_12_2013-04-26,23613.263671875
1_12_2013-05-03,20307.23046875
1_12_2013-05-10,26624.189453125
1_12_2013-05-17,24918.8828125
1_12_2013-05-24,21310.369140625
1_12_2013-05-31,20874.568359375
1_12_2013-06-07,23470.349609375
1_12_2013-06-14,19324.166015625
1_12_2013-06-21,20960.5625
1_12_2013-06-28,21930.845703125
1_12_2013-07-05,16280.205078125
1_12_2013-07-12,20569.23828125
1_12_2013-07-19,23571.482421875
1_12_2013-07-26,19619.494140625
1_13_2012-11-02,46825.05078125
1_13_2012-11-09,50478.55078125
1_13_2012-11-16,52878.8125
1_13_2012-11-23,59079.3203125
1_13_2012-11-30,53486.63671875
1_13_2012-12-07,55081.7890625
1_13_2012-12-14,48365.34765625
1_13_2012-12-21,49368.45703125
1_13_2012-12-28,42357.6796875
1_13_2013-01-04,45372.4609375
1_13_2013-01-11,47271.6953125
1_13_2013-01-18,47558.40234375
1_13_2013-01-25,47431.3515625
1_13_2013-02-01,39206.96484375
1_13_2013-02-08,46150.0
1_13_2013-02-15,53844.9453125
1_13_2013-02-22,46936.1015625
1_13_2013-03-01,49772.76171875
1_13_2013-03-08,49780.29296875
1_13_2013-03-15,47047.5234375
1_13_2013-03-22,46897.07421875
1_13_2013-03-29,51192.93359375
1_13_2013-04-05,50996.4453125
1_13_2013-04-12,48281.7734375
1_13_2013-04-19,47802.3125
1_13_2013-04-26,47173.265625
1_13_2013-05-03,43867.23828125
1_13_2013-05-10,50184.19921875
1_13_2013-05-17,48478.875
1_13_2013-05-24,44870.38671875
1_13_2013-05-31,44434.58203125
1_13_2013-06-07,47030.3671875
1_13_2013-06-14,42884.18359375
1_13_2013-06-21,44520.58203125
1_13_2013-06-28,45490.8515625
1_13_2013-07-05,39840.21484375
1_13_2013-07-12,44129.2421875
1_13_2013-07-19,47131.48046875
1_13_2013-07-26,43179.50390625
1_14_2012-11-02,32818.4921875
1_14_2012-11-09,36471.9921875
1_14_2012-11-16,38872.2578125
1_14_2012-11-23,45072.79296875
1_14_2012-11-30,39480.0703125
1_14_2012-12-07,41075.21875
1_14_2012-12-14,34358.78515625
1_14_2012-12-21,35361.8984375
1_14_2012-12-28,28351.10546875
1_14_2013-01-04,31365.892578125
1_14_2013-01-11,33265.12890625
1_14_2013-01-18,33551.85546875
1_14_2013-01-25,33424.79296875
1_14_2013-02-01,25200.40234375
1_14_2013-02-08,32143.435546875
1_14_2013-02-15,39838.37109375
1_14_2013-02-22,32929.53125
1_14_2013-03-01,35766.19921875
1_14_2013-03-08,35773.73046875
1_14_2013-03-15,33040.97265625
1_14_2013-03-22,32890.5
1_14_2013-03-29,37186.36328125
1_14_2013-04-05,36989.87890625
1_14_2013-04-12,34275.20703125
1_14_2013-04-19,33795.7421875
1_14_2013-04-26,33166.7109375
1_14_2013-05-03,29860.6796875
1_14_2013-05-10,36177.62890625
1_14_2013-05-17,34472.31640625
1_14_2013-05-24,30863.802734375
1_14_2013-05-31,30428.00390625
1_14_2013-06-07,33023.78125
1_14_2013-06-14,28877.5859375
1_14_2013-06-21,30514.009765625
1_14_2013-06-28,31484.2890625
1_14_2013-07-05,25833.65234375
1_14_2013-07-12,30122.666015625
1_14_2013-07-19,33124.9140625
1_14_2013-07-26,29172.939453125
1_16_2012-11-02,32386.98828125
1_16_2012-11-09,36040.48828125
1_16_2012-11-16,38440.74609375
1_16_2012-11-23,44641.28125
1_16_2012-11-30,39048.5703125
1_16_2012-12-07,40643.71875
1_16_2012-12-14,33927.27734375
1_16_2012-12-21,34930.3828125
1_16_2012-12-28,27919.591796875
1_16_2013-01-04,30934.384765625
1_16_2013-01-11,32833.6171875
1_16_2013-01-18,33120.3359375
1_16_2013-01-25,32993.28125
1_16_2013-02-01,24768.892578125
1_16_2013-02-08,31711.9140625
1_16_2013-02-15,39406.8515625
1_16_2013-02-22,32498.025390625
1_16_2013-03-01,35334.70703125
1_16_2013-03-08,35342.203125
1_16_2013-03-15,32609.455078125
1_16_2013-03-22,32458.994140625
1_16_2013-03-29,36754.8671875
1_16_2013-04-05,36558.375
1_16_2013-04-12,33843.71484375
1_16_2013-04-19,33364.23828125
1_16_2013-04-26,32735.201171875
1_16_2013-05-03,29429.166015625
1_16_2013-05-10,35746.13671875
1_16_2013-05-17,34040.81640625
1_16_2013-05-24,30432.3046875
1_16_2013-05-31,29996.490234375
1_16_2013-06-07,32592.27734375
1_16_2013-06-14,28446.0859375
1_16_2013-06-21,30082.4921875
1_16_2013-06-28,31052.775390625
1_16_2013-07-05,25402.138671875
1_16_2013-07-12,29691.1640625
1_16_2013-07-19,32693.41015625
1_16_2013-07-26,28741.42578125
1_17_2012-11-02,28666.0
1_17_2012-11-09,32319.505859375
1_17_2012-11-16,34719.7734375
1_17_2012-11-23,40920.2890625
1_17_2012-11-30,35327.58984375
1_17_2012-12-07,36922.73046875
1_17_2012-12-14,30206.30078125
1_17_2012-12-21,31209.419921875
1_17_2012-12-28,24198.6171875
1_17_2013-01-04,27213.412109375
1_17_2013-01-11,29112.65234375
1_17_2013-01-18,29399.3515625
1_17_2013-01-25,29272.314453125
1_17_2013-02-01,21047.912109375
1_17_2013-02-08,27990.94140625
1_17_2013-02-15,35685.90234375
1_17_2013-02-22,28777.044921875
1_17_2013-03-01,31613.720703125
1_17_2013-03-08,31621.244140625
1_17_2013-03-15,28888.482421875
1_17_2013-03-22,28738.033203125
1_17_2013-03-29,33033.87109375
1_17_2013-04-05,32837.40625
1_17_2013-04-12,30122.72265625
1_17_2013-04-19,29643.255859375
1_17_2013-04-26,29014.212890625
1_17_2013-05-03,25708.185546875
1_17_2013-05-10,32025.158203125
1_17_2013-05-17,30319.833984375
1_17_2013-05-24,26711.318359375
1_17_2013-05-31,26275.521484375
1_17_2013-06-07,28871.302734375
1_17_2013-06-14,24725.119140625
1_17_2013-06-21,26361.5234375
1_17_2013-06-28,27331.806640625
1_17_2013-07-05,21681.15625
1_17_2013-07-12,25970.193359375
1_17_2013-07-19,28972.4296875
1_17_2013-07-26,25020.44921875
1_18_2012-11-02,25832.37890625
1_18_2012-11-09,29485.876953125
1_18_2012-11-16,31886.1328125
1_18_2012-11-23,38086.67578125
1_18_2012-11-30,32493.947265625
1_18_2012-12-07,34089.10546875
1_18_2012-12-14,27372.6640625
1_18_2012-12-21,28375.78515625
1_18_2012-12-28,21364.98828125
1_18_2013-01-04,24379.7734375
1_18_2013-01-11,26279.017578125
1_18_2013-01-18,26565.72265625
1_18_2013-01-25,26438.681640625
1_18_2013-02-01,18214.287109375
1_18_2013-02-08,25157.3046875
1_18_2013-02-15,32852.26171875
1_18_2013-02-22,25943.419921875
1_18_2013-03-01,28780.099609375
1_18_2013-03-08,28787.61328125
1_18_2013-03-15,26054.859375
1_18_2013-03-22,25904.39453125
1_18_2013-03-29,30200.255859375
1_18_2013-04-05,30003.765625
1_18_2013-04-12,27289.095703125
1_18_2013-04-19,26809.623046875
1_18_2013-04-26,26180.591796875
1_18_2013-05-03,22874.55859375
1_18_2013-05-10,29191.515625
1_18_2013-05-17,27486.203125
1_18_2013-05-24,23877.697265625
1_18_2013-06-07,26037.68359375
1_18_2013-07-05,18847.53515625
1_19_2012-11-02,18704.349609375
1_19_2012-11-09,22357.845703125
1_19_2012-11-16,24758.083984375
1_19_2012-11-23,30958.64453125
1_19_2012-11-30,25365.923828125
1_19_2012-12-07,26961.080078125
1_19_2012-12-14,20244.630859375
1_19_2012-12-21,21247.7578125
1_19_2012-12-28,14236.9541015625
1_19_2013-01-04,17251.7421875
1_19_2013-01-11,19150.984375
1_19_2013-01-18,19437.689453125
1_19_2013-01-25,19310.642578125
1_19_2013-02-01,11086.259765625
1_19_2013-02-08,18029.283203125
1_19_2013-02-15,25724.224609375
1_19_2013-02-22,18815.388671875
1_19_2013-03-01,21652.060546875
1_19_2013-03-08,21659.580078125
1_19_2013-03-15,18926.82421875
1_19_2013-03-22,18776.357421875
1_19_2013-03-29,23072.220703125
1_19_2013-04-05,22875.740234375
1_19_2013-04-12,20161.064453125
1_19_2013-04-19,19681.583984375
1_19_2013-04-26,19052.556640625
1_19_2013-05-03,15746.5302734375
1_19_2013-05-10,22063.486328125
1_19_2013-05-17,20358.173828125
1_19_2013-05-24,16749.662109375
1_19_2013-05-31,16313.859375
1_19_2013-06-07,18909.650390625
1_19_2013-06-14,14763.4541015625
1_19_2013-06-21,16399.865234375
1_19_2013-06-28,17370.138671875
1_19_2013-07-05,11719.5009765625
1_19_2013-07-12,16008.5302734375
1_19_2013-07-19,19010.76953125
1_19_2013-07-26,15058.78515625
1_20_2012-11-02,23989.7109375
1_20_2012-11-09,27643.203125
1_20_2012-11-16,30043.466796875
1_20_2012-11-23,36244.01171875
1_20_2012-11-30,30651.294921875
1_20_2012-12-07,32246.439453125
1_20_2012-12-14,25530.00390625
1_20_2012-12-21,26533.115234375
1_20_2012-12-28,19522.32421875
1_20_2013-01-04,22537.10546875
1_20_2013-01-11,24436.3515625
1_20_2013-01-18,24723.05078125
1_20_2013-01-25,24596.015625
1_20_2013-02-01,16371.6201171875
1_20_2013-02-08,23314.640625
1_20_2013-02-15,31009.580078125
1_20_2013-02-22,24100.748046875
1_20_2013-03-01,26937.41796875
1_20_2013-03-08,26944.939453125
1_20_2013-03-15,24212.185546875
1_20_2013-03-22,24061.72265625
1_20_2013-03-29,28357.59765625
1_20_2013-04-05,28161.09375
1_20_2013-04-12,25446.42578125
1_20_2013-04-19,24966.958984375
1_20_2013-04-26,24337.91796875
1_20_2013-05-03,21031.892578125
1_20_2013-05-10,27348.845703125
1_20_2013-05-17,25643.54296875
1_20_2013-05-24,22035.033203125
1_20_2013-05-31,21599.224609375
1_20_2013-06-07,24195.001953125
1_20_2013-06-14,20048.818359375
1_20_2013-06-21,21685.22265625
1_20_2013-06-28,22655.494140625
1_20_2013-07-05,17004.861328125
1_20_2013-07-12,21293.890625
1_20_2013-07-19,24296.12890625
1_20_2013-07-26,20344.142578125
1_21_2012-11-02,24072.8046875
1_21_2012-11-09,27726.291015625
1_21_2012-11-16,30126.560546875
1_21_2012-11-23,36327.09765625
1_21_2012-11-30,30734.390625
1_21_2012-12-07,32329.5390625
1_21_2012-12-14,25613.09375
1_21_2012-12-21,26616.212890625
1_21_2012-12-28,19605.421875
1_21_2013-01-04,22620.2109375
1_21_2013-01-11,24519.4453125
1_21_2013-01-18,24806.15234375
1_21_2013-01-25,24679.109375
1_21_2013-02-01,16454.724609375
1_21_2013-02-08,23397.751953125
1_21_2013-02-15,31092.6875
1_21_2013-02-22,24183.853515625
1_21_2013-03-01,27020.5234375
1_21_2013-03-08,27028.037109375
1_21_2013-03-15,24295.2890625
1_21_2013-03-22,24144.8203125
1_21_2013-03-29,28440.673828125
1_21_2013-04-05,28244.1953125
1_21_2013-04-12,25529.5234375
1_21_2013-04-19,25050.056640625
1_21_2013-04-26,24421.017578125
1_21_2013-05-03,21114.98828125
1_21_2013-05-10,27431.9453125
1_21_2013-05-17,25726.642578125
1_21_2013-05-24,22118.1171875
1_21_2013-05-31,21682.322265625
1_21_2013-06-07,24278.109375
1_21_2013-06-14,20131.916015625
1_21_2013-06-21,21768.318359375
1_21_2013-06-28,22738.6015625
1_21_2013-07-05,17087.962890625
1_21_2013-07-12,21376.98828125
1_21_2013-07-19,24379.232421875
1_21_2013-07-26,20427.248046875
1_22_2012-11-02,27864.09765625
1_22_2012-11-09,31517.599609375
1_22_2012-11-16,33917.85546875
1_22_2012-11-23,40118.41796875
1_22_2012-11-30,34525.68359375
1_22_2012-12-07,36120.83984375
1_22_2012-12-14,29404.388671875
1_22_2012-12-21,30407.5078125
1_22_2012-12-28,23396.71875
1_22_2013-01-04,26411.501953125
1_22_2013-01-11,28310.751953125
